Technology_Domain,Patent_Title,Patent_Abstract,Inventors,Assignee,Filing_Date,Publication_Date,Patent_Number,Patent_Status,IPC_or_CPC_Classification,Country,Keywords,Source_URL
Robotics,Method and System for Robotics Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Robotics optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_49, Dr. Taylor Scientist_49",Institute of Technology & Robotics Research Group,2024-02-03,2024-12-04,US-94786972-B2,GRANTED,G06F 17/76 (IPC) | H04L 9/78 (CPC),US,"Robotics, automation, system, adaptive",https://www.lens.org/lens/patent/US-94786972-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_31, Dr. Taylor Scientist_31",Institute of Technology & Space Technology Research Group,2024-04-04,2024-12-03,US-98810516-B2,GRANTED,G06F 17/50 (IPC) | H04L 9/27 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-98810516-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_39, Dr. Taylor Scientist_39",Institute of Technology & Blockchain Research Group,2023-08-06,2024-12-03,US-33717328-B2,GRANTED,G06F 17/10 (IPC) | H04L 9/38 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-33717328-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_112, Dr. Taylor Scientist_112",Institute of Technology & Blockchain Research Group,2024-03-22,2024-12-03,US-42517779-B2,GRANTED,G06F 17/43 (IPC) | H04L 9/53 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-42517779-B2
Robotics,Method and System for Robotics Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Robotics optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_182, Dr. Taylor Scientist_182",Institute of Technology & Robotics Research Group,2024-02-04,2024-12-02,US-49232266-B2,FILED,G06F 17/88 (IPC) | H04L 9/84 (CPC),US,"Robotics, automation, system, adaptive",https://www.lens.org/lens/patent/US-49232266-B2
Data Science,Method and System for Data Science Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Data Science optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_169, Dr. Taylor Scientist_169",Institute of Technology & Data Science Research Group,2024-04-04,2024-12-02,US-22297859-B2,FILED,G06F 17/82 (IPC) | H04L 9/92 (CPC),US,"Data Science, automation, system, adaptive",https://www.lens.org/lens/patent/US-22297859-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_67, Dr. Taylor Scientist_67",Institute of Technology & Cloud Computing Research Group,2024-04-04,2024-12-02,US-52397790-B2,GRANTED,G06F 17/11 (IPC) | H04L 9/59 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-52397790-B2
Healthcare,Method and System for Healthcare Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Healthcare optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_79, Dr. Taylor Scientist_79",Institute of Technology & Healthcare Research Group,2023-11-03,2024-12-02,US-99470380-B2,GRANTED,G06F 17/71 (IPC) | H04L 9/38 (CPC),US,"Healthcare, automation, system, adaptive",https://www.lens.org/lens/patent/US-99470380-B2
Natural Language Processing,Method and System for Natural Language Processing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Natural Language Processing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_22, Dr. Taylor Scientist_22",Institute of Technology & Natural Language Processing Research Group,2023-11-30,2024-12-01,US-10819134-B2,GRANTED,G06F 17/70 (IPC) | H04L 9/52 (CPC),US,"Natural Language Processing, automation, system, adaptive",https://www.lens.org/lens/patent/US-10819134-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_121, Dr. Taylor Scientist_121",Institute of Technology & Blockchain Research Group,2023-12-06,2024-11-30,US-42199828-B2,FILED,G06F 17/86 (IPC) | H04L 9/21 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-42199828-B2
Artificial Intelligence,Method and System for Artificial Intelligence Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Artificial Intelligence optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_13, Dr. Taylor Scientist_13",Institute of Technology & Artificial Intelligence Research Group,2024-05-02,2024-11-30,US-47380729-B2,FILED,G06F 17/24 (IPC) | H04L 9/74 (CPC),US,"Artificial Intelligence, automation, system, adaptive",https://www.lens.org/lens/patent/US-47380729-B2
Natural Language Processing,Method and System for Natural Language Processing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Natural Language Processing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_179, Dr. Taylor Scientist_179",Institute of Technology & Natural Language Processing Research Group,2024-01-30,2024-11-29,US-84929037-B2,GRANTED,G06F 17/52 (IPC) | H04L 9/27 (CPC),US,"Natural Language Processing, automation, system, adaptive",https://www.lens.org/lens/patent/US-84929037-B2
Natural Language Processing,Method and System for Natural Language Processing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Natural Language Processing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_141, Dr. Taylor Scientist_141",Institute of Technology & Natural Language Processing Research Group,2023-08-03,2024-11-29,US-40669023-B2,GRANTED,G06F 17/20 (IPC) | H04L 9/70 (CPC),US,"Natural Language Processing, automation, system, adaptive",https://www.lens.org/lens/patent/US-40669023-B2
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_6, Dr. Taylor Scientist_6",Institute of Technology & Quantum Computing Research Group,2023-09-03,2024-11-29,US-88594668-B2,FILED,G06F 17/25 (IPC) | H04L 9/80 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-88594668-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_46, Dr. Taylor Scientist_46",Institute of Technology & Cloud Computing Research Group,2023-10-28,2024-11-29,US-22847583-B2,GRANTED,G06F 17/93 (IPC) | H04L 9/82 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-22847583-B2
Smart Cities,Method and System for Smart Cities Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Cities optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_158, Dr. Taylor Scientist_158",Institute of Technology & Smart Cities Research Group,2023-08-22,2024-11-28,US-28370615-B2,GRANTED,G06F 17/11 (IPC) | H04L 9/77 (CPC),US,"Smart Cities, automation, system, adaptive",https://www.lens.org/lens/patent/US-28370615-B2
Agriculture Technology,Method and System for Agriculture Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Agriculture Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_109, Dr. Taylor Scientist_109",Institute of Technology & Agriculture Technology Research Group,2023-09-24,2024-11-28,US-11354946-B2,FILED,G06F 17/20 (IPC) | H04L 9/32 (CPC),US,"Agriculture Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-11354946-B2
Internet of Things,Method and System for Internet of Things Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Internet of Things optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_80, Dr. Taylor Scientist_80",Institute of Technology & Internet of Things Research Group,2024-04-17,2024-11-28,US-81594030-B2,FILED,G06F 17/50 (IPC) | H04L 9/96 (CPC),US,"Internet of Things, automation, system, adaptive",https://www.lens.org/lens/patent/US-81594030-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_19, Dr. Taylor Scientist_19",Institute of Technology & Space Technology Research Group,2023-11-29,2024-11-27,US-78226089-B2,GRANTED,G06F 17/56 (IPC) | H04L 9/54 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-78226089-B2
